Market Capitalization,Short Term Debt,Long Term Debt,Other Liability,Total Asset,Daily Risk-Free Rate
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
5.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
